date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jan 1, 2019 2:57:52 PM PST",11035924951,Transfer,,,"To your account ending in: 426, Bank Transfer ID: 091000015389138",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,-2253.20,-2253.20
"Jan 2, 2019 2:29:30 AM PST",11035924951,Order,113-2554109-2593806,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,NORMANDY PARK,WA,98148-2177,MarketplaceFacilitator,29.99,3,0,0,0,0,0,0,-3,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 3:58:27 AM PST",11035924951,Service Fee,,,Cost of Advertising,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,-44.50,0.00,-44.50
"Jan 2, 2019 8:39:28 AM PST",11035924951,Order,113-0522766-4661040,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,EDWARDSVILLE,IL,62025-3016,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 9:59:31 AM PST",11035924951,Order,112-2470105-3382612,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,BOULDER,CO,80305-5725,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 10:47:01 AM PST",11035924951,Order,113-0019865-5476216,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Jacksonville,NC,28546-9529,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 12:39:36 PM PST",11035924951,Order,113-5681267-8046637,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,CHARLESTON,SC,29412-2316,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 2:59:28 PM PST",11035924951,Order,114-7945950-3949024,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Pittsburgh,Pennsylvania,15217,MarketplaceFacilitator,29.99,1.8,0,0,0,0,0,0,-1.8,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 4:10:37 PM PST",11035924951,Order,112-4484937-7864244,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Maple Valley,WA,98038-8322,MarketplaceFacilitator,29.99,2.58,0,0,0,0,0,0,-2.58,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 4:29:13 PM PST",11035924951,Order,112-0772657-8481002,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,MILLEDGEVILLE,GA,31061-9337,,29.99,0,5.99,0,0,0,0,0,0,-4.5,-11.08,0.00,0.00,20.40
"Jan 2, 2019 6:51:06 PM PST",11035924951,Order,113-8558064-4635442,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,CLIFTON,NJ,07013-1583,MarketplaceFacilitator,29.99,1.99,2.99,0,0,0,-2.99,0,-1.99,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 6:52:49 PM PST",11035924951,Order,113-9407591-0050644,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Oakland,CA,94605,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 6:59:52 PM PST",11035924951,Order,111-9330159-5831400,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,OCONTO,WISCONSIN,54153-1952,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 2, 2019 9:32:12 PM PST",11035924951,Order,112-8879980-5801817,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",4,amazon.com,,Amazon,MIDDLETOWN,OH,45042-3806,,119.96,0,0,0,0,0,0,0,0,-18,-20.36,0.00,0.00,81.60
"Jan 2, 2019 9:38:04 PM PST",11035924951,Order,113-5892109-0735427,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Los Angeles,CA,90035,,29.99,0,5.99,0,0,0,-5.99,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 3, 2019 6:25:39 AM PST",11035924951,Order,111-3443573-7630617,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,SUDBURY,MA,01776-1142,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 3, 2019 10:42:18 AM PST",11035924951,Order,111-6945302-0674665,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,LOUISVILLE,KY,40206-2206,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 3, 2019 1:51:32 PM PST",11035924951,Order,113-8385665-1533858,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,EDGERTON,WI,53534-1010,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 3, 2019 3:54:29 PM PST",11035924951,Order,111-2774785-2254631,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",2,amazon.com,,Amazon,COVINGTON,KY,41011-3066,,59.98,0,0,0,0,0,0,0,0,-9,-10.18,0.00,0.00,40.80
"Jan 3, 2019 6:07:47 PM PST",11035924951,Order,111-8896956-1405042,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,WEST CHESTER,PA,19380-4144,MarketplaceFacilitator,29.99,1.8,0,0,0,0,0,0,-1.8,-4.5,-5.09,0.00,0.00,20.40
"Jan 3, 2019 7:59:13 PM PST",11035924951,Order,111-8425704-4793801,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,RIDGEFIELD,WA,98642-1112,MarketplaceFacilitator,29.99,2.52,0,0,0,0,0,0,-2.52,-4.5,-5.09,0.00,0.00,20.40
"Jan 4, 2019 1:11:09 AM PST",11035924951,Order,112-7738048-8480226,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",2,amazon.com,,Amazon,CORAL GABLES,FL,33146-1112,,59.98,0,0,0,0,0,0,0,0,-9,-10.18,0.00,0.00,40.80
"Jan 4, 2019 7:54:45 AM PST",11035924951,Order,113-8014308-4295420,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,VERO BEACH,FL,32966-1257,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 4, 2019 10:26:04 AM PST",11035924951,Order,111-1810427-7372244,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",2,amazon.com,,Amazon,Tulsa,OK,74133,MarketplaceFacilitator,59.98,5.1,0,0,0,0,0,0,-5.1,-9,-10.18,0.00,0.00,40.80
"Jan 4, 2019 11:14:15 AM PST",11035924951,Order,111-6512695-6214663,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,SILVER SPRING,MD,20905-4091,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 4, 2019 1:58:32 PM PST",11035924951,Order,114-9553253-2489010,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,THORNTON,CO,80233-5442,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 4, 2019 5:19:56 PM PST",11035924951,Order,112-2783184-2327468,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,RUTHERFORD,NEW JERSEY,07070-2467,MarketplaceFacilitator,29.99,1.99,0,0,0,0,0,0,-1.99,-4.5,-5.09,0.00,0.00,20.40
"Jan 4, 2019 7:05:12 PM PST",11035924951,Order,113-9746439-8782653,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Turtle Lake,Wi,54889,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 4, 2019 8:21:22 PM PST",11035924951,Order,113-7211454-9385800,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Dallas,Texas,75206,,29.99,0,5.99,0,0,0,0,0,0,-4.5,-11.08,0.00,0.00,20.40
"Jan 4, 2019 11:34:11 PM PST",11035924951,Order,114-1200726-4923422,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,SAN FRANCISCO,CA,94122-1423,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 5, 2019 8:33:44 AM PST",11035924951,Order,113-9559874-4225826,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",2,amazon.com,,Amazon,POWDER SPRINGS,GA,30127-5423,,59.98,0,7.88,0,0,0,0,0,0,-9,-18.06,0.00,0.00,40.80
"Jan 5, 2019 10:37:57 AM PST",11035924951,Order,111-8491567-1565847,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Middleville,MI,49333-7086,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 5, 2019 1:21:53 PM PST",11035924951,Order,114-5028654-9129019,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Mount Horeb,Wisconsin,53572,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 5, 2019 7:23:45 PM PST",11035924951,Order,112-8289757-2658628,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,ORLANDO,FL,32835-2291,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 5, 2019 8:49:47 PM PST",11035924951,Order,112-0447367-1934662,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,WASHINGTON,DC,20037-1033,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 5, 2019 9:29:14 PM PST",11035924951,Order,113-7662390-0399423,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",2,amazon.com,,Amazon,DOYLESTOWN,PA,18902-1284,MarketplaceFacilitator,59.98,3.6,11.98,0,0,0,-11.98,0,-3.6,-9,-10.18,0.00,0.00,40.80
"Jan 5, 2019 10:30:09 PM PST",11035924951,Order,113-0292220-8678659,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,CORONADO,California,92118-1625,,29.99,0,1,0,0,0,-1,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 6, 2019 2:19:57 AM PST",11035924951,Order,111-0984500-8535425,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,NEWTON GROVE,NC,28366,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 6, 2019 2:26:26 AM PST",11035924951,Order,112-2136773-8629063,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Virginia Beach,Virginia,23453,,29.99,0,0,0,0,0,0,0,0,-9,-5.09,0.00,0.00,15.90
"Jan 6, 2019 2:26:26 AM PST",11035924951,Order,112-2136773-8629063,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Virginia Beach,Virginia,23453,,29.99,0,0,0,0,0,0,0,0,0,-5.09,0.00,0.00,24.90
